# shot,itor_max
220316026,13879.11943
220810006,13841.95748
220629010,13803.10735
220517018,13771.92662
220629009,13757.45843
220628008,13753.80503
220517027,13746.15737
221121006,13727.03672
221108005,13705.46362
220628013,13703.38852
220621017,13701.50589
220621013,13675.66564
220610011,13675.05319
220816021,13648.27565
220707020,13630.63148
220811023,13616.52453
220318011,13599.69737
221208012,13579.23875
220707035,13576.03857
220816008,13571.92658
220707016,13565.07893
220427016,13542.3411
220816006,13522.47227
220816007,13516.86356
220316025,13443.16541
220517017,13394.59772
221122009,13355.02454
220811009,13248.72988
220809012,13223.88659
220811011,13109.25883
220610007,13024.93335
220721008,13014.0034
220721009,12973.22111
220610009,12961.75509
220720009,12945.22758
220720010,12935.21534
221024007,12909.52711
220913006,12901.65092
221121005,12897.12968
220610008,12890.5189
220718013,12839.53038
220720012,12828.22499
220707023,12784.13396
220503171,12710.43589
220816022,12697.15623
220719012,12682.87628
221208009,12660.90235
220719011,12660.52993
221130011,12654.11877
220811012,12564.6294
220916014,12500.1188
220707014,12395.25515
220607016,12353.32725
220721007,12185.29508
221208008,12179.72462
220621008,12177.01357
220427018,12123.59669
220707013,12118.63434
220517007,12111.93914
220517008,12087.61732
220706008,12037.37052
220503020,11948.9193
220719010,11857.77539
220811010,11766.60218
220601010,11719.01279
220517006,11706.43142
220601011,11676.68134
221130066,11587.06962
220601062,11570.06609
220706010,11568.71576
220607010,11563.90579
220628026,11524.01672
220607009,11355.94487
220628007,11354.98429
220718012,11324.04908
220601097,11199.4748
220601122,11179.34139
220607007,11094.00442
220503019,11004.77868
221122010,10925.15107
220601009,10921.30437
220427014,10764.0988
220427012,10659.90263
220316014,10638.48706
220427011,10339.70787
221024006,10325.39581
220427015,10123.3052
220421007,10025.54649
220421014,10005.77065
220427008,10002.27558
220503018,9968.521911
220706037,9892.310681
220427010,9825.603877
221205011,9804.717744
220518011,9776.695434
220418008,9544.577036
220421011,9523.278043
220427013,9436.011892
220418007,9385.610527
221006006,9334.938666
220415031,9141.342531
220706016,9047.568074
220706035,8975.951299
220706019,8910.122626
220427007,8836.576913
220628027,8798.047435
220706017,8778.161952
220418006,8757.72029
221205012,8424.47741
220706022,8346.719458
220913005,8315.799017
220706031,7270.011002
220318007,6975.652678
220316027,6591.159748
220415027,5560.048841
221006005,5557.83887
